Clube ID,Media Pontos por Jogo,Media Pontos por Jogo Casa,Media Pontos por Jogo Fora,Total Pontos Casa,Total Pontos Fora
FLA,2.3333333333333335,1.0,3.0,1,6
PAL,2.3333333333333335,2.0,3.0,4,3
JUV,2.0,3.0,0.0,6,0
VAS,2.0,3.0,0.0,6,0
FLU,2.0,3.0,0.0,6,0
INT,1.6666666666666667,3.0,1.0,3,2
FOR,1.6666666666666667,2.0,1.0,4,1
CEA,1.3333333333333333,3.0,0.5,3,1
COR,1.3333333333333333,3.0,0.5,3,1
BOT,1.3333333333333333,3.0,0.5,3,1
RBB,1.3333333333333333,2.0,0.0,4,0
CRU,1.3333333333333333,3.0,0.5,3,1
GRE,1.0,1.5,0.0,3,0
BAH,1.0,1.0,1.0,2,1
SAO,1.0,1.0,1.0,2,1
CAM,0.6666666666666666,1.0,0.0,2,0
MIR,0.6666666666666666,1.0,0.5,1,1
SAN,0.3333333333333333,1.0,0.0,1,0
VIT,0.3333333333333333,0.0,0.5,0,1
SPT,0.3333333333333333,0.0,0.5,0,1
